pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,7,0,28,0,,,,,119.62318226599018,120.60908559299423,120.60908559299423,120.60908559299423,120.60908559299423,120.62721106599201,121.61791104500298,121.61791104500298,x,1,0.6111069660109933,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,7,1,29,1,,,,,122.2565158669895,123.2544695189863,123.2544695189863,123.2544695189863,123.2544695189863,123.27352643400081,124.25273001598543,124.25273001598543,v,1,0.6211005650111474,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,7,2,30,2,,,,,124.90718213899527,125.89637524800492,125.89637524800492,125.89637524800492,125.89637524800492,125.91829487099312,126.90579471300589,126.90579471300589,c,1,0.6118880400026683,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,7,3,31,3,,,,,127.5545482840098,128.56484795099823,128.56484795099823,128.56484795099823,128.56484795099823,128.56484795099823,129.54558859500685,129.54558859500685,z,1,0.7040307309944183,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,8,0,32,0,,,,,130.29422663801233,131.29478164500324,131.29478164500324,131.29478164500324,131.29478164500324,131.31353999499697,132.28590677698958,132.28590677698958,x,1,0.6458940650045406,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,8,1,33,1,,,,,132.96573390299454,133.95421288098441,133.95421288098441,133.95421288098441,133.95421288098441,133.97106051299488,134.95516642098664,134.95516642098664,v,1,0.6100288710149471,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,8,2,34,2,,,,,135.60104753400083,136.59703836700646,136.59703836700646,136.59703836700646,136.59703836700646,136.61672605099739,137.60093278699787,137.60093278699787,c,1,0.62346866299049,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,8,3,35,3,,,,,138.2626687209995,139.2541398720059,139.2541398720059,139.2541398720059,139.2541398720059,139.2707314149884,140.26256347101298,140.26256347101298,z,1,0.6698167480062693,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,9,0,36,0,,,,,140.95917995099444,141.94620368399774,141.94620368399774,141.94620368399774,141.94620368399774,141.96689611798502,142.95228103498812,142.95228103498812,x,1,0.6175972430210095,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,9,1,37,1,,,,,143.6009487239935,144.5996163469972,144.5996163469972,144.5996163469972,144.5996163469972,144.6223614019982,145.5877960830112,145.5877960830112,v,1,0.6279537270311266,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,9,2,38,2,,,,,146.24884586798726,147.2528365390026,147.2528365390026,147.2528365390026,147.2528365390026,147.2706234419893,148.24502635499812,148.24502635499812,c,1,0.7490251410054043,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,9,3,39,3,,,,,149.03732526898966,150.02685700799339,150.02685700799339,150.02685700799339,150.02685700799339,150.04785567999352,151.03129254898522,151.03129254898522,z,1,0.6169379790080711,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,10,0,40,0,,,,,151.68388013800723,152.6822642509942,152.6822642509942,152.6822642509942,152.6822642509942,152.69868143100757,153.68831086400314,153.68831086400314,x,1,0.6114395399927162,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,10,1,41,1,,,,,154.33467475298676,155.3385654670128,155.3385654670128,155.3385654670128,155.3385654670128,155.3385654670128,156.34195665898733,156.34195665898733,v,1,0.6597997070057318,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,10,2,42,2,,,,,157.04563092099852,158.0401841700077,158.0401841700077,158.0401841700077,158.0401841700077,158.0599169479974,159.0640459730057,159.0640459730057,c,1,0.696381421003025,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,10,3,43,3,,,,,159.78831429898855,160.77127462701173,160.77127462701173,160.77127462701173,160.77127462701173,160.79050501799793,161.7921867929981,161.7921867929981,z,1,0.6151428380107973,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,11,0,44,0,,,,,162.43506262800656,163.42242237299797,163.42242237299797,163.42242237299797,163.42242237299797,163.43829923900194,164.4354242979898,164.4354242979898,x,1,0.6684406510030385,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,11,1,45,1,,,,,165.1424032530049,166.14489788201172,166.14489788201172,166.14489788201172,166.14489788201172,166.16178169599152,167.13542951300042,167.13542951300042,v,1,0.652576432999922,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,11,2,46,2,,,,,167.8181037559989,168.80306619300973,168.80306619300973,168.80306619300973,168.80306619300973,168.82016343800933,169.81733695199364,169.81733695199364,c,1,0.6931284810125362,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,11,3,47,3,,,,,170.5365204619884,171.52278244998888,171.52278244998888,171.52278244998888,171.52278244998888,171.54449943100917,172.53432047800743,172.53432047800743,z,1,0.6936552850238513,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
